Date,lag_01,lag_02,lag_03,x_01,x_02,y_01,y_02,y_03,y_04,y_05,y_06,y_07
5/4/2015,-0.217625398,-0.333973813,-1.001169857,-0.483824039,-0.472312867,-0.643622162,-0.138946791,-0.318596773,-0.382380397,-0.026441796,-0.40474903,-0.078974296
5/5/2015,-0.179503659,-0.316603073,-1.937217528,-0.660398263,-0.487431974,-0.569242779,-0.130788439,-0.314015729,-0.394464802,-0.030482132,-0.382391094,-0.69767286
5/6/2015,-0.101934049,-0.099125438,0.145761733,-0.545094968,-0.271969143,-0.185440677,-0.115940841,-0.253772723,-0.171229477,-0.025630444,-0.212687583,2.074429497
5/7/2015,0.049754186,0.066430249,-0.386702604,-0.00754555,-0.200765959,-0.295871135,-0.009744501,-0.038024132,-0.032973046,-0.030987101,-0.048859277,0.911308811
5/8/2015,-0.270299115,-0.475410481,0.879160313,-0.213962605,-0.136654825,0.073364611,-0.131195665,-0.122304409,-0.528495774,-0.027498944,-0.141113998,0.312179136
5/11/2015,-0.06979489,-0.072399091,2.517184538,-0.705837293,0.133108848,0.295857357,-0.066861663,0.005175049,-0.169249084,-0.025446842,0.120858585,2.390765757
5/12/2015,-0.018271984,-0.049928576,1.755943131,0.047966454,0.106959574,0.210125348,-0.044536811,0.002299489,-0.152739734,-0.026312893,0.123326104,1.380871118
5/13/2015,0.038865824,0.086227708,2.114107655,-0.152483632,0.302268656,0.442311017,-0.038942493,0.062145337,-0.053325383,-0.024285535,0.227076893,2.353058803
5/14/2015,-0.030454473,0.08441949,3.278148865,-0.00554734,0.302046777,0.607762532,-0.063637358,-0.042178537,-0.011807599,-0.030847112,0.201088503,4.314115154
5/15/2015,-0.22653095,-0.367729229,0.889981914,-0.219738124,0.005705933,-0.027081882,-0.130574954,-0.163417318,-0.478168501,-0.024863116,-0.06996472,1.148010777
5/18/2015,-0.226083472,-0.310379287,1.494856877,-0.271060056,0.039191465,0.117120037,-0.119083246,-0.148090119,-0.333995244,-0.026720928,-0.067965772,2.455053531
5/19/2015,-0.064811227,-0.076950627,1.473411234,-0.243015027,0.114770298,0.210153635,-0.062609358,0.00517898,-0.120052028,-0.027137504,0.106014106,2.616412946
5/20/2015,-0.042885219,0.019982699,2.92559597,-0.165879255,0.206543418,0.321137676,-0.075495167,-0.02494137,-0.112552123,-0.0259946,0.197506081,4.119067479
5/21/2015,-0.263947008,-0.374052859,1.734764303,-0.311832825,-0.030427277,-0.012136375,-0.151102607,-0.142255769,-0.443652396,-0.033853553,-0.127915217,2.655751465
5/22/2015,-0.020146855,0.107554401,3.354124944,-0.149887795,0.211366858,0.30566954,-0.080710174,-0.034297438,-0.058772463,-0.02381421,0.174684111,4.397540479
5/26/2015,-0.129699797,-0.157993006,2.050845155,-0.314190106,0.064910063,0.14408928,-0.0839138,-0.109439412,-0.207357766,-0.025620715,-0.030103812,3.149387511
5/27/2015,-0.033892687,-0.035064497,1.652341272,-0.472575355,0.118821785,0.079043468,-0.060472447,-0.030851493,-0.175098423,-0.026638253,0.035767404,2.80679674
5/28/2015,-0.04925242,-0.029128116,2.336032608,-0.431210731,0.121115092,0.154698113,-0.027814402,-0.072956927,-0.087932774,-0.028576967,0.080751717,3.947325049
